dataset,model,label,accuracy,f1,recall,precision
Adiac,chrono_gam,1.0,0.9820971867007673,0.8636378059692968,0.8682864450127877,0.8593350383631714
Adiac,chrono_gam,2.0,0.9667519181585678,0.7662193571146118,0.7749360613810742,0.7583120204603581
Adiac,chrono_gam,3.0,0.9616368286445013,0.7648113324741803,0.7749360613810742,0.7557544757033248
Adiac,chrono_gam,4.0,0.9846547314578005,0.8732777823611915,0.8772378516624041,0.8695652173913043
Adiac,chrono_gam,5.0,0.959079283887468,0.7348035513698414,0.7455242966751918,0.7250639386189258
Adiac,chrono_gam,6.0,0.979539641943734,0.8310370431482552,0.8363171355498721,0.8260869565217391
Adiac,chrono_gam,7.0,0.9744245524296675,0.8500453757940765,0.8567774936061381,0.8439897698209718
Adiac,chrono_gam,8.0,0.969309462915601,0.8281724412935848,0.8363171355498721,0.8209718670076727
Adiac,chrono_gam,9.0,0.8823529411764706,0.6925948730418573,0.6892583120204604,0.7199488491048593
Adiac,chrono_gam,10.0,0.9769820971867008,0.8622297813288655,0.8682864450127877,0.8567774936061381
Adiac,chrono_gam,11.0,0.9744245524296675,0.8092126612215714,0.8158567774936062,0.80306905370844
Adiac,chrono_gam,12.0,0.9641943734015346,0.8062995067930929,0.8158567774936062,0.7979539641943734
Adiac,chrono_gam,13.0,0.9641943734015346,0.806348059366901,0.8158567774936062,0.7979539641943734
Adiac,chrono_gam,14.0,0.9462915601023018,0.8384912912446557,0.8595055413469735,0.8480087687248812
Adiac,chrono_gam,15.0,0.9769820971867008,0.8303330308280396,0.8363171355498721,0.8248081841432225
Adiac,chrono_gam,16.0,0.9207161125319693,0.7826760913834077,0.7800511508951407,0.7941176470588235
Adiac,chrono_gam,17.0,0.9769820971867008,0.8303330308280396,0.8363171355498721,0.8248081841432225
Adiac,chrono_gam,18.0,0.9667519181585678,0.7662679096884194,0.7749360613810742,0.7583120204603581
Adiac,chrono_gam,19.0,0.969309462915601,0.7669719220086354,0.7749360613810742,0.7595907928388747
Adiac,chrono_gam,20.0,0.969309462915601,0.8281724412935846,0.8363171355498721,0.8209718670076727
Adiac,chrono_gam,21.0,0.969309462915601,0.8078046365811402,0.8158567774936062,0.8005115089514067
Adiac,chrono_gam,22.0,0.9744245524296675,0.8500453757940765,0.8567774936061381,0.8439897698209718
Adiac,chrono_gam,23.0,0.9718670076726342,0.7880922916151034,0.7953964194373402,0.7813299232736572
Adiac,chrono_gam,24.0,0.979539641943734,0.8514534004345078,0.8567774936061381,0.8465473145780051
Adiac,chrono_gam,25.0,0.959079283887468,0.7348035513698414,0.7455242966751918,0.7250639386189258
Adiac,chrono_gam,26.0,0.9718670076726342,0.8085086489013559,0.8158567774936062,0.8017902813299232
Adiac,chrono_gam,27.0,0.9820971867007673,0.8725737700409759,0.8772378516624041,0.8682864450127877
Adiac,chrono_gam,28.0,0.9820971867007673,0.8521574127547233,0.8567774936061381,0.8478260869565217
Adiac,chrono_gam,29.0,0.9718670076726342,0.8085086489013559,0.8158567774936062,0.8017902813299232
Adiac,chrono_gam,30.0,0.9820971867007673,0.8521574127547233,0.8567774936061381,0.8478260869565217
Adiac,chrono_gam,31.0,0.9718670076726342,0.8085086489013558,0.8158567774936062,0.8017902813299232
Adiac,chrono_gam,32.0,0.9820971867007673,0.8929901273272283,0.8976982097186701,0.8887468030690537
Adiac,chrono_gam,33.0,0.9820971867007673,0.8521574127547233,0.8567774936061381,0.8478260869565217
Adiac,chrono_gam,34.0,0.9718670076726342,0.767675934328851,0.7749360613810742,0.7608695652173914
Adiac,chrono_gam,35.0,0.9744245524296675,0.8411094117223975,0.8478260869565217,0.8350383631713555
Adiac,chrono_gam,36.0,0.9641943734015346,0.7362115760102727,0.7455242966751918,0.7276214833759591
Adiac,chrono_gam,37.0,0.969309462915601,0.7873882792948876,0.7953964194373402,0.7800511508951407
ArrowHead,chrono_gam,0.0,0.6057142857142858,0.5801058201058201,0.5885714285714285,0.5742857142857143
ArrowHead,chrono_gam,1.0,0.6971428571428572,0.6809894867037724,0.7257142857142858,0.6657142857142857
ArrowHead,chrono_gam,2.0,0.6971428571428572,0.6751648351648352,0.6857142857142857,0.6685714285714286
Beef,chrono_gam,1.0,0.8,0.6717948717948717,0.7333333333333333,0.6333333333333333
Beef,chrono_gam,2.0,0.8,0.6717948717948717,0.7333333333333333,0.6333333333333333
Beef,chrono_gam,3.0,0.8,0.44395604395604393,0.5,0.4
Beef,chrono_gam,4.0,0.8,0.703030303030303,0.7666666666666667,0.6666666666666666
Beef,chrono_gam,5.0,0.8,0.703030303030303,0.7666666666666667,0.6666666666666666
BeetleFly,chrono_gam,1.0,0.5,0.41818181818181815,0.6,0.35
BeetleFly,chrono_gam,2.0,0.5,0.3076923076923077,0.4,0.25
BirdChicken,chrono_gam,1.0,0.5,0.41818181818181815,0.6,0.35
BirdChicken,chrono_gam,2.0,0.5,0.3076923076923077,0.4,0.25
Car,chrono_gam,1.0,0.7666666666666667,0.4301915708812261,0.5,0.38333333333333336
Car,chrono_gam,2.0,0.7666666666666667,0.4313026962302325,0.5,0.38333333333333336
Car,chrono_gam,3.0,0.6833333333333333,0.4055623388956722,0.5,0.3416666666666667
Car,chrono_gam,4.0,0.21666666666666667,0.17303359408622565,0.5,0.10833333333333334
CBF,chrono_gam,1.0,0.6666666666666666,0.39804842649900113,0.5,0.3333333333333333
CBF,chrono_gam,2.0,0.6688888888888889,0.39910091146259724,0.5,0.33444444444444443
CBF,chrono_gam,3.0,0.6644444444444444,0.3975107781884392,0.5,0.3322222222222222
ChlorineConcentration,chrono_gam,1.0,0.25885416666666666,0.20778748182353962,0.45545317529692536,0.20846827651515154
ChlorineConcentration,chrono_gam,2.0,0.409375,0.38583040620781295,0.5192314861064862,0.5045670504264254
ChlorineConcentration,chrono_gam,3.0,0.54375,0.43874515602360015,0.519541951104451,0.47462470689033187
CinCECGTorso,chrono_gam,1.0,0.3869565217391304,0.3395457625495178,0.3696856444682531,0.3971424710555145
CinCECGTorso,chrono_gam,2.0,0.7521739130434782,0.4288793586847784,0.5014492753623189,0.377536231884058
CinCECGTorso,chrono_gam,3.0,0.7514492753623189,0.42846093728231344,0.5014492753623189,0.37717391304347825
CinCECGTorso,chrono_gam,4.0,0.7514492753623189,0.4280951718398154,0.5009661835748792,0.37681159420289856
Coffee,chrono_gam,0.0,0.4642857142857143,0.46218487394957986,0.7142857142857143,0.44642857142857145
Coffee,chrono_gam,1.0,0.5357142857142857,0.2764976958525346,0.2857142857142857,0.26785714285714285
Computers,chrono_gam,1.0,0.488,0.38780522954111907,0.378,0.442
Computers,chrono_gam,2.0,0.548,0.44793852968918185,0.448,0.558
CricketX,chrono_gam,1.0,0.9307692307692308,0.571520112565719,0.5897435897435898,0.5551282051282052
CricketX,chrono_gam,2.0,0.9128205128205128,0.5996310894642375,0.6230769230769231,0.5794871794871795
CricketX,chrono_gam,3.0,0.22564102564102564,0.21502761040746277,0.4678867286559593,0.503627312858082
CricketX,chrono_gam,4.0,0.45384615384615384,0.3633374241440896,0.4782680567295952,0.5082465682465682
CricketX,chrono_gam,5.0,0.9025641025641026,0.5225701057069245,0.5487179487179488,0.5
CricketX,chrono_gam,6.0,0.24102564102564103,0.22182780087001586,0.3756720202874048,0.4979726256649333
CricketX,chrono_gam,7.0,0.37948717948717947,0.30907736497100424,0.4010716633793557,0.48861235630466393
CricketX,chrono_gam,8.0,0.9128205128205128,0.5793136291467772,0.6025641025641025,0.558974358974359
CricketX,chrono_gam,9.0,0.8974358974358975,0.5415785005996353,0.5692307692307692,0.517948717948718
CricketX,chrono_gam,10.0,0.9051282051282051,0.6047344846751597,0.6307692307692307,0.5833333333333334
CricketX,chrono_gam,11.0,0.9333333333333333,0.6463176126802379,0.6641025641025641,0.6307692307692307
CricketX,chrono_gam,12.0,0.9153846153846154,0.6002882298766616,0.6230769230769231,0.5807692307692308
CricketY,chrono_gam,1.0,0.9051282051282051,0.5562429561539686,0.5820512820512821,0.5346153846153846
CricketY,chrono_gam,2.0,0.9025641025641026,0.6165028924471041,0.6341880341880343,0.6032634032634033
CricketY,chrono_gam,3.0,0.5,0.3906290037889016,0.46826242133934437,0.5260921983998907
CricketY,chrono_gam,4.0,0.9102564102564102,0.5375730436909526,0.5615384615384615,0.5166666666666667
CricketY,chrono_gam,5.0,0.7128205128205128,0.5241089583370752,0.5849206349206348,0.5802358325435248
CricketY,chrono_gam,6.0,0.9153846153846154,0.5671391764828919,0.5897435897435898,0.5474358974358975
CricketY,chrono_gam,7.0,0.9153846153846154,0.5670852840152062,0.5897435897435898,0.5474358974358975
CricketY,chrono_gam,8.0,0.08205128205128205,0.07237560971307103,0.36923076923076925,0.041025641025641026
CricketY,chrono_gam,9.0,0.9128205128205128,0.5663794665351953,0.5897435897435898,0.5461538461538461
CricketY,chrono_gam,10.0,0.9153846153846154,0.6206235934378316,0.6435897435897436,0.6012820512820513
CricketY,chrono_gam,11.0,0.9153846153846154,0.6209081833998409,0.6435897435897436,0.6012820512820513
CricketY,chrono_gam,12.0,0.9205128205128205,0.6095855794187275,0.6307692307692307,0.591025641025641
CricketZ,chrono_gam,1.0,0.9153846153846154,0.6003907994119341,0.6230769230769231,0.5807692307692308
CricketZ,chrono_gam,2.0,0.9025641025641026,0.5428276855047343,0.5692307692307692,0.5205128205128206
CricketZ,chrono_gam,3.0,0.8974358974358975,0.5542476436210215,0.5820512820512821,0.5307692307692308
CricketZ,chrono_gam,4.0,0.9153846153846154,0.5798195229563418,0.6025641025641025,0.5602564102564103
CricketZ,chrono_gam,5.0,0.6615384615384615,0.46643229559369404,0.46530384145768755,0.5131728954805878
CricketZ,chrono_gam,6.0,0.48205128205128206,0.386590373949407,0.4717413355874893,0.5174788174788175
CricketZ,chrono_gam,7.0,0.9384615384615385,0.675932422539764,0.6923076923076923,0.6615384615384615
CricketZ,chrono_gam,8.0,0.9282051282051282,0.6040659180147502,0.6230769230769231,0.5871794871794872
CricketZ,chrono_gam,9.0,0.9128205128205128,0.5178588313182307,0.541025641025641,0.49743589743589745
CricketZ,chrono_gam,10.0,0.9128205128205128,0.5588449222264574,0.5820512820512821,0.5384615384615384
CricketZ,chrono_gam,11.0,0.08205128205128205,0.0716558616249019,0.3487179487179487,0.041025641025641026
CricketZ,chrono_gam,12.0,0.13846153846153847,0.1346558452440805,0.4208819385742462,0.41842490842490837
DiatomSizeReduction,chrono_gam,1.0,0.10784313725490197,0.09585157305669662,0.49673202614379086,0.05392156862745098
DiatomSizeReduction,chrono_gam,2.0,0.6993464052287581,0.4103444368217865,0.5,0.34967320261437906
DiatomSizeReduction,chrono_gam,3.0,0.6928104575163399,0.4067578872266725,0.5,0.3464052287581699
DiatomSizeReduction,chrono_gam,4.0,0.7091503267973857,0.41069115583011073,0.49673202614379086,0.3545751633986928
DistalPhalanxOutlineAgeGroup,chrono_gam,1.0,0.8920863309352518,0.6814838845104289,0.7122302158273381,0.658273381294964
DistalPhalanxOutlineAgeGroup,chrono_gam,2.0,0.4244604316546763,0.2681452626776368,0.4028776978417266,0.21223021582733814
DistalPhalanxOutlineAgeGroup,chrono_gam,3.0,0.4676258992805755,0.38895926241957884,0.5971223021582733,0.33093525179856115
DistalPhalanxOutlineCorrect,chrono_gam,0.0,0.39855072463768115,0.3005556573599554,0.46668894712372977,0.32988267770876467
DistalPhalanxOutlineCorrect,chrono_gam,1.0,0.5833333333333334,0.36497383543947226,0.5,0.2916666666666667
DistalPhalanxTW,chrono_gam,3.0,0.45323741007194246,0.2909115883834236,0.35339157245632064,0.36589234107219715
DistalPhalanxTW,chrono_gam,4.0,0.8633093525179856,0.4626698577575251,0.5,0.4316546762589928
DistalPhalanxTW,chrono_gam,5.0,0.39568345323741005,0.3264038254303896,0.3280028524632841,0.3817631608998515
DistalPhalanxTW,chrono_gam,6.0,0.8489208633093526,0.577317777464181,0.6381294964028777,0.5776978417266186
DistalPhalanxTW,chrono_gam,7.0,0.30935251798561153,0.23935646484330717,0.33668493776407454,0.4868470059117541
DistalPhalanxTW,chrono_gam,8.0,0.302158273381295,0.1967696567383774,0.28776978417266186,0.1510791366906475
