dataset,model,label,accuracy,f1,recall,precision
Adiac,isolation-forest,1.0,0.959079283887468,0.27272727272727276,0.2,0.42857142857142855
Adiac,isolation-forest,2.0,0.8618925831202046,0.20588235294117643,0.12727272727272726,0.5384615384615384
Adiac,isolation-forest,3.0,0.8849104859335039,0.3661971830985915,0.23214285714285715,0.8666666666666667
Adiac,isolation-forest,4.0,0.9846547314578005,0.5,0.5,0.5
Adiac,isolation-forest,5.0,0.4884910485933504,0.13043478260869565,0.07009345794392523,0.9375
Adiac,isolation-forest,6.0,0.1483375959079284,0.005970149253731343,0.0030581039755351682,0.125
Adiac,isolation-forest,7.0,0.9462915601023018,0.4,0.28,0.7
Adiac,isolation-forest,8.0,0.8644501278772379,0.20895522388059698,0.12727272727272726,0.5833333333333334
Adiac,isolation-forest,9.0,0.989769820971867,0.7777777777777778,1.0,0.6363636363636364
Adiac,isolation-forest,10.0,0.9565217391304348,0.45161290322580644,0.3181818181818182,0.7777777777777778
Adiac,isolation-forest,11.0,0.680306905370844,0.06015037593984963,0.032520325203252036,0.4
Adiac,isolation-forest,12.0,0.979539641943734,0.6,1.0,0.42857142857142855
Adiac,isolation-forest,13.0,0.8567774936061381,0.28205128205128205,0.171875,0.7857142857142857
Adiac,isolation-forest,14.0,0.8005115089514067,0.1702127659574468,0.09411764705882353,0.8888888888888888
Adiac,isolation-forest,15.0,0.9386189258312021,0.368421052631579,0.2413793103448276,0.7777777777777778
Adiac,isolation-forest,16.0,0.9437340153452686,0.35294117647058826,0.25,0.6
Adiac,isolation-forest,17.0,0.9948849104859335,0.8750000000000001,1.0,0.7777777777777778
Adiac,isolation-forest,18.0,0.8491048593350383,0.23376623376623376,0.140625,0.6923076923076923
Adiac,isolation-forest,19.0,0.7391304347826086,0.10526315789473684,0.058823529411764705,0.5
Adiac,isolation-forest,20.0,0.8797953964194374,0.20338983050847456,0.1276595744680851,0.5
Adiac,isolation-forest,21.0,0.9616368286445013,0.5161290322580646,0.42105263157894735,0.6666666666666666
Adiac,isolation-forest,22.0,0.670076726342711,0.0979020979020979,0.05263157894736842,0.7
Adiac,isolation-forest,23.0,0.8797953964194374,0.253968253968254,0.15384615384615385,0.7272727272727273
Adiac,isolation-forest,24.0,0.9872122762148338,0.6153846153846154,0.8,0.5
Adiac,isolation-forest,25.0,0.8721227621483376,0.32432432432432434,0.20689655172413793,0.75
Adiac,isolation-forest,26.0,0.7672634271099744,0.13333333333333333,0.07446808510638298,0.6363636363636364
Adiac,isolation-forest,27.0,0.9641943734015346,0.2222222222222222,0.18181818181818182,0.2857142857142857
Adiac,isolation-forest,28.0,0.8593350383631714,0.15384615384615388,0.08620689655172414,0.7142857142857143
Adiac,isolation-forest,29.0,0.9718670076726342,0.47619047619047616,0.5,0.45454545454545453
Adiac,isolation-forest,30.0,0.7084398976982097,0.049999999999999996,0.02654867256637168,0.42857142857142855
Adiac,isolation-forest,31.0,0.8491048593350383,0.14492753623188406,0.08620689655172414,0.45454545454545453
Adiac,isolation-forest,32.0,0.8567774936061381,0.19999999999999998,0.1111111111111111,1.0
Adiac,isolation-forest,33.0,0.9258312020460358,0.21621621621621623,0.13333333333333333,0.5714285714285714
Adiac,isolation-forest,34.0,0.9641943734015346,0.41666666666666663,0.38461538461538464,0.45454545454545453
Adiac,isolation-forest,35.0,0.4884910485933504,0.07407407407407407,0.038834951456310676,0.8
Adiac,isolation-forest,36.0,0.979539641943734,0.6363636363636364,0.875,0.5
Adiac,isolation-forest,37.0,0.731457800511509,0.14634146341463414,0.08108108108108109,0.75
ArrowHead,isolation-forest,0.0,0.7085714285714285,0.41379310344827586,1.0,0.2608695652173913
ArrowHead,isolation-forest,1.0,0.6971428571428572,0.34567901234567905,0.5,0.2641509433962264
ArrowHead,isolation-forest,2.0,0.5485714285714286,0.5536723163841808,0.3951612903225806,0.9245283018867925
Beef,isolation-forest,1.0,0.6333333333333333,0.47619047619047616,0.3333333333333333,0.8333333333333334
Beef,isolation-forest,2.0,0.5,0.39999999999999997,0.2631578947368421,0.8333333333333334
Beef,isolation-forest,3.0,0.7666666666666667,0.4615384615384615,0.42857142857142855,0.5
Beef,isolation-forest,4.0,0.5666666666666667,0.4347826086956522,0.29411764705882354,0.8333333333333334
Beef,isolation-forest,5.0,0.5666666666666667,0.3157894736842105,0.23076923076923078,0.5
BeetleFly,isolation-forest,1.0,0.75,0.7368421052631577,0.7777777777777778,0.7
BeetleFly,isolation-forest,2.0,0.55,0.4,0.6,0.3
BirdChicken,isolation-forest,1.0,0.55,0.47058823529411764,0.5714285714285714,0.4
BirdChicken,isolation-forest,2.0,0.65,0.588235294117647,0.7142857142857143,0.5
Car,isolation-forest,1.0,0.7333333333333333,0.4666666666666667,0.4375,0.5
Car,isolation-forest,2.0,0.7333333333333333,0.5555555555555556,0.45454545454545453,0.7142857142857143
Car,isolation-forest,3.0,0.7666666666666667,0.46153846153846156,0.8571428571428571,0.3157894736842105
Car,isolation-forest,4.0,0.5,0.16666666666666669,0.13043478260869565,0.23076923076923078
CBF,isolation-forest,1.0,0.8122222222222222,0.6793168880455407,0.788546255506608,0.5966666666666667
CBF,isolation-forest,2.0,0.5988888888888889,0.5128205128205128,0.4288939051918736,0.6375838926174496
CBF,isolation-forest,3.0,0.8244444444444444,0.6775510204081633,0.8829787234042553,0.5496688741721855
ChlorineConcentration,isolation-forest,1.0,0.26510416666666664,0.3180280328661189,0.2023370233702337,0.7426636568848759
ChlorineConcentration,isolation-forest,2.0,0.5364583333333334,0.32779456193353473,0.24956871765382405,0.47744774477447743
ChlorineConcentration,isolation-forest,3.0,0.5671875,0.6248306997742664,0.580293501048218,0.6767726161369193
CinCECGTorso,isolation-forest,1.0,0.35,0.3818056512749828,0.25158946412352406,0.7914285714285715
CinCECGTorso,isolation-forest,2.0,0.7978260869565217,0.47258979206049156,0.6684491978609626,0.3654970760233918
CinCECGTorso,isolation-forest,3.0,0.42246376811594205,0.3002633889376646,0.21482412060301506,0.49854227405247814
CinCECGTorso,isolation-forest,4.0,0.5485507246376812,0.28473019517795634,0.23574144486692014,0.35942028985507246
Coffee,isolation-forest,0.0,0.7857142857142857,0.7499999999999999,1.0,0.6
Coffee,isolation-forest,1.0,0.7857142857142857,0.7272727272727274,0.8888888888888888,0.6153846153846154
Computers,isolation-forest,1.0,0.496,0.6631016042780749,0.4979919678714859,0.992
Computers,isolation-forest,2.0,0.528,0.6775956284153004,0.5145228215767634,0.992
CricketX,isolation-forest,1.0,0.6205128205128205,0.22916666666666666,0.13333333333333333,0.8148148148148148
CricketX,isolation-forest,2.0,0.7487179487179487,0.3287671232876712,0.21428571428571427,0.7058823529411765
CricketX,isolation-forest,3.0,0.4794871794871795,0.19123505976095617,0.10909090909090909,0.7741935483870968
CricketX,isolation-forest,4.0,0.717948717948718,0.23611111111111108,0.14912280701754385,0.5666666666666667
CricketX,isolation-forest,5.0,0.8666666666666667,0.5,0.3939393939393939,0.6842105263157895
CricketX,isolation-forest,6.0,0.5487179487179488,0.18518518518518517,0.10810810810810811,0.6451612903225806
CricketX,isolation-forest,7.0,0.6871794871794872,0.2988505747126437,0.1793103448275862,0.896551724137931
CricketX,isolation-forest,8.0,0.6256410256410256,0.2150537634408602,0.13157894736842105,0.5882352941176471
CricketX,isolation-forest,9.0,0.47435897435897434,0.259927797833935,0.1518987341772152,0.9
CricketX,isolation-forest,10.0,0.6230769230769231,0.1694915254237288,0.10714285714285714,0.40540540540540543
CricketX,isolation-forest,11.0,0.46153846153846156,0.13934426229508198,0.0779816513761468,0.6538461538461539
CricketX,isolation-forest,12.0,0.3564102564102564,0.18770226537216828,0.10507246376811594,0.8787878787878788
CricketY,isolation-forest,1.0,0.6820512820512821,0.3033707865168539,0.19148936170212766,0.7297297297297297
CricketY,isolation-forest,2.0,0.6205128205128205,0.2525252525252525,0.1497005988023952,0.8064516129032258
CricketY,isolation-forest,3.0,0.5051282051282051,0.21862348178137656,0.12385321100917432,0.9310344827586207
CricketY,isolation-forest,4.0,0.8205128205128205,0.45312499999999994,0.3118279569892473,0.8285714285714286
CricketY,isolation-forest,5.0,0.4897435897435897,0.19433198380566805,0.11009174311926606,0.8275862068965517
CricketY,isolation-forest,6.0,0.617948717948718,0.24365482233502536,0.14634146341463414,0.7272727272727273
CricketY,isolation-forest,7.0,0.823076923076923,0.448,0.30434782608695654,0.8484848484848485
CricketY,isolation-forest,8.0,0.5666666666666667,0.21395348837209302,0.12568306010928962,0.71875
CricketY,isolation-forest,9.0,0.44871794871794873,0.20074349442379183,0.1148936170212766,0.7941176470588235
CricketY,isolation-forest,10.0,0.764102564102564,0.3783783783783784,0.24347826086956523,0.8484848484848485
CricketY,isolation-forest,11.0,0.28717948717948716,0.16265060240963852,0.0903010033444816,0.8181818181818182
CricketY,isolation-forest,12.0,0.5692307692307692,0.2222222222222222,0.12972972972972974,0.7741935483870968
CricketZ,isolation-forest,1.0,0.6923076923076923,0.3181818181818182,0.1958041958041958,0.8484848484848485
CricketZ,isolation-forest,2.0,0.7974358974358975,0.41481481481481475,0.28865979381443296,0.7368421052631579
