classifier_name,dataset_name,f1
chrono_gam,<81,0.4447712451870566
chrono_gam_old,<81,0.2857673620793317
dagmm,<81,0.20456355839663146
deepsvdd,<81,0.2247710070083632
ocsvm,<81,0.4033838514021373
isolation-forest,<81,0.5577519137479506
chrono_gam,81-250,0.6170578202446964
chrono_gam_old,81-250,0.5507325337581627
dagmm,81-250,0.3327996845614206
deepsvdd,81-250,0.06328438574947103
ocsvm,81-250,0.3895757862100777
isolation-forest,81-250,0.4052824171499967
chrono_gam,251-450,0.6366629658009985
chrono_gam_old,251-450,0.5958585779297901
dagmm,251-450,0.3425049317375947
deepsvdd,251-450,0.07835427246192522
ocsvm,251-450,0.2778666723482134
isolation-forest,251-450,0.34410101833383705
chrono_gam,451-700,0.6361681342517524
chrono_gam_old,451-700,0.5347090680701331
dagmm,451-700,0.3674349395870859
deepsvdd,451-700,0.0724773514064609
ocsvm,451-700,0.3738559547157137
isolation-forest,451-700,0.45749448361780876
chrono_gam,701-1000,0.7911323386777427
chrono_gam_old,701-1000,0.7072146135789014
dagmm,701-1000,0.42789137782701203
deepsvdd,701-1000,0.02982179310269085
ocsvm,701-1000,0.48504145614555666
isolation-forest,701-1000,0.5532997748801839
chrono_gam,>1000,0.5138869036420094
chrono_gam_old,>1000,0.36913192377691373
dagmm,>1000,0.17181796913279224
deepsvdd,>1000,0.08497001646636627
ocsvm,>1000,0.14332471966607874
isolation-forest,>1000,0.213868138172771
