classifier_name,dataset_name,f1
chrono_gam,Image-0,0.6571179170881639
chrono_gam,Image-1,0.6571179170881639
dagmm,Image-0,0.35148406386733094
dagmm,Image-1,0.35148406386733094
deepsvdd,Image-0,0.07064680981390743
deepsvdd,Image-1,0.07064680981390743
ocsvm,Image-0,0.3312523593377718
ocsvm,Image-1,0.3312523593377718
isolation-forest,Image-0,0.36372959609650013
isolation-forest,Image-1,0.36372959609650013
chrono_gam,Sensor-0,0.5674487391803624
chrono_gam,Sensor-1,0.5674487391803624
dagmm,Sensor-0,0.2479159327734769
dagmm,Sensor-1,0.2479159327734769
deepsvdd,Sensor-0,0.10259544467549919
deepsvdd,Sensor-1,0.10259544467549919
ocsvm,Sensor-0,0.24597706303044028
ocsvm,Sensor-1,0.24597706303044028
isolation-forest,Sensor-0,0.36215227436311237
isolation-forest,Sensor-1,0.36215227436311237
chrono_gam,Motion-0,0.4968942789978226
chrono_gam,Motion-1,0.4968942789978226
dagmm,Motion-0,0.2893635517855066
dagmm,Motion-1,0.2893635517855066
deepsvdd,Motion-0,0.09175724904262356
deepsvdd,Motion-1,0.09175724904262356
ocsvm,Motion-0,0.31666033794705567
ocsvm,Motion-1,0.31666033794705567
isolation-forest,Motion-0,0.4225117208936077
isolation-forest,Motion-1,0.4225117208936077
chrono_gam,Device-0,0.10367132481026099
chrono_gam,Device-1,0.10367132481026099
dagmm,Device-0,0.13344002856188225
dagmm,Device-1,0.13344002856188225
deepsvdd,Device-0,0.10656081169074419
deepsvdd,Device-1,0.10656081169074419
ocsvm,Device-0,0.18900810443248695
ocsvm,Device-1,0.18900810443248695
isolation-forest,Device-0,0.4549300974164332
isolation-forest,Device-1,0.4549300974164332
chrono_gam,Spectro-0,0.5679054333340463
chrono_gam,Spectro-1,0.5679054333340463
dagmm,Spectro-0,0.31196610751917303
dagmm,Spectro-1,0.31196610751917303
deepsvdd,Spectro-0,0.1829585565065524
deepsvdd,Spectro-1,0.1829585565065524
ocsvm,Spectro-0,0.4753094994299477
ocsvm,Spectro-1,0.4753094994299477
isolation-forest,Spectro-0,0.5810668055281252
isolation-forest,Spectro-1,0.5810668055281252
chrono_gam,Simulated-0,0.6057820398790087
chrono_gam,Simulated-1,0.6057820398790087
dagmm,Simulated-0,0.2533595021769123
dagmm,Simulated-1,0.2533595021769123
deepsvdd,Simulated-0,0.0899815277139659
deepsvdd,Simulated-1,0.0899815277139659
ocsvm,Simulated-0,0.30933492923711225
ocsvm,Simulated-1,0.30933492923711225
isolation-forest,Simulated-0,0.48252759185734106
isolation-forest,Simulated-1,0.48252759185734106
chrono_gam,ECG-0,0.8940821143855963
chrono_gam,ECG-1,0.8940821143855963
dagmm,ECG-0,0.4625109918713754
dagmm,ECG-1,0.4625109918713754
deepsvdd,ECG-0,0.025074932424383255
deepsvdd,ECG-1,0.025074932424383255
ocsvm,ECG-0,0.5432956627824146
ocsvm,ECG-1,0.5432956627824146
isolation-forest,ECG-0,0.5413014958627302
isolation-forest,ECG-1,0.5413014958627302
