dataset,model,label,accuracy,f1,recall,precision
Adiac,ocsvm,1.0,0.9718670076726342,0.669281045751634,0.644750656167979,0.7051711309523809
Adiac,ocsvm,2.0,0.9744245524296675,0.7156777196044212,0.8883419689119172,0.6525234025234026
Adiac,ocsvm,3.0,0.9846547314578005,0.8960106382978724,0.8960106382978723,0.8960106382978723
Adiac,ocsvm,4.0,0.989769820971867,0.7474160206718347,0.9948586118251928,0.6666666666666666
Adiac,ocsvm,5.0,0.9565217391304348,0.5414913430364903,0.6473367697594502,0.5285833333333334
Adiac,ocsvm,6.0,0.7723785166240409,0.4357864357864358,0.4870967741935484,0.39425587467362927
Adiac,ocsvm,7.0,0.969309462915601,0.7612942612942613,0.71475,0.8381889763779528
Adiac,ocsvm,8.0,0.9616368286445013,0.6640316205533596,0.6712918660287082,0.6574318381706244
Adiac,ocsvm,9.0,0.979539641943734,0.7090773809523809,0.9896907216494846,0.6363636363636364
Adiac,ocsvm,10.0,0.9718670076726342,0.7536231884057971,0.7103069344448655,0.8228621291448517
Adiac,ocsvm,11.0,0.9718670076726342,0.669281045751634,0.7051711309523809,0.644750656167979
Adiac,ocsvm,12.0,0.9744245524296675,0.7156777196044212,0.9870801033591732,0.6428571428571428
Adiac,ocsvm,13.0,0.979539641943734,0.8613475177304964,0.83975,0.8862258431223948
Adiac,ocsvm,14.0,0.8567774936061381,0.5490196078431372,0.546329385337962,0.7639616055846422
Adiac,ocsvm,15.0,0.8516624040920716,0.5329131652661064,0.5363487849703901,0.7070971495055265
Adiac,ocsvm,16.0,0.9718670076726342,0.7536231884057971,0.7254782254782255,0.7908136482939632
Adiac,ocsvm,17.0,0.9872122762148338,0.8044413323997199,0.9935400516795866,0.7222222222222222
Adiac,ocsvm,18.0,0.8721227621483376,0.5862959200948028,0.5680752484090655,0.7481684981684982
Adiac,ocsvm,19.0,0.9232736572890026,0.5851018675721562,0.5659641728134879,0.6376429199648197
Adiac,ocsvm,20.0,0.959079283887468,0.6561125769569042,0.6561125769569042,0.6561125769569042
Adiac,ocsvm,21.0,0.9514066496163683,0.6994376340170733,0.6599099099099099,0.7731970096745823
Adiac,ocsvm,22.0,0.9258312020460358,0.6086896504123961,0.5793008192036578,0.7185039370078741
Adiac,ocsvm,23.0,0.8593350383631714,0.5385688230876515,0.537394219144961,0.6627990430622009
Adiac,ocsvm,24.0,0.9872122762148338,0.8044413323997199,0.8948186528497409,0.7486945169712793
Adiac,ocsvm,25.0,0.9386189258312021,0.7228260869565217,0.6764081255771006,0.8184166666666667
Adiac,ocsvm,26.0,0.8593350383631714,0.5385688230876515,0.537394219144961,0.6627990430622009
Adiac,ocsvm,27.0,0.9846547314578005,0.6961139896373058,0.8268900343642611,0.6415550595238095
Adiac,ocsvm,28.0,0.9130434782608695,0.59060113328406,0.5647427088105055,0.8154761904761905
Adiac,ocsvm,29.0,0.9769820971867008,0.6479943983194959,0.9884318766066837,0.5909090909090909
Adiac,ocsvm,30.0,0.7953964194373402,0.4878176578464763,0.5198526483472721,0.6854538690476191
Adiac,ocsvm,31.0,0.9462915601023018,0.5296442687747035,0.5284740545294635,0.5309808612440191
Adiac,ocsvm,32.0,0.9872122762148338,0.8300738809213385,0.8098890339425587,0.8532366071428572
Adiac,ocsvm,33.0,0.8337595907928389,0.5089553103927972,0.5256876456876457,0.7049851190476191
Adiac,ocsvm,34.0,0.9718670076726342,0.669281045751634,0.7396103896103896,0.6324162679425838
Adiac,ocsvm,35.0,0.9539641943734015,0.6131266490765171,0.5978590375142099,0.6355643044619422
Adiac,ocsvm,36.0,0.9769820971867008,0.7572601227840243,0.9883419689119171,0.6785714285714286
Adiac,ocsvm,37.0,0.8772378516624041,0.5667590027700831,0.5537536443148687,0.6945910290237467
ArrowHead,ocsvm,0.0,0.6914285714285714,0.5770676691729323,0.83125,0.6086956521739131
ArrowHead,ocsvm,1.0,0.7314285714285714,0.5334392194679222,0.7997754491017964,0.5619393751933189
ArrowHead,ocsvm,2.0,0.72,0.6767688190282333,0.6732242852932508,0.6817970924837612
Beef,ocsvm,1.0,0.9,0.803921568627451,0.9444444444444444,0.75
Beef,ocsvm,2.0,0.5333333333333333,0.49760765550239233,0.5535714285714286,0.5833333333333333
Beef,ocsvm,3.0,0.6333333333333333,0.5763799743260591,0.5950226244343891,0.6458333333333333
Beef,ocsvm,4.0,0.7,0.55810147299509,0.5559006211180124,0.5625
Beef,ocsvm,5.0,0.4666666666666667,0.4258373205741627,0.48660714285714285,0.47916666666666663
BeetleFly,ocsvm,1.0,0.5,0.3333333333333333,0.25,0.5
BeetleFly,ocsvm,2.0,0.5,0.3333333333333333,0.25,0.5
BirdChicken,ocsvm,1.0,0.65,0.6266666666666667,0.7,0.65
BirdChicken,ocsvm,2.0,0.55,0.4357366771159875,0.763157894736842,0.55
Car,ocsvm,1.0,0.7666666666666667,0.5424836601307189,0.6428571428571428,0.5496894409937888
Car,ocsvm,2.0,0.6333333333333333,0.6052631578947368,0.6333333333333333,0.6863354037267081
Car,ocsvm,3.0,0.7666666666666667,0.6563011456628478,0.8059299191374663,0.6456996148908858
Car,ocsvm,4.0,0.5166666666666667,0.41512605042016804,0.4366028708133971,0.4132569558101473
CBF,ocsvm,1.0,0.6822222222222222,0.45650337837837845,0.7642045454545454,0.5258333333333334
CBF,ocsvm,2.0,0.6688888888888889,0.4007989347536618,0.33444444444444443,0.5
CBF,ocsvm,3.0,0.6722222222222223,0.42666370100997886,0.7794612794612794,0.512408912711245
ChlorineConcentration,ocsvm,1.0,0.39895833333333336,0.3823328942691673,0.45356132407504124,0.4374869137153433
ChlorineConcentration,ocsvm,2.0,0.55703125,0.49838541731062713,0.5160155385130601,0.5216114753747636
ChlorineConcentration,ocsvm,3.0,0.5223958333333333,0.5220177418987024,0.5267399592138016,0.5264583092126323
CinCECGTorso,ocsvm,1.0,0.7471014492753624,0.4304123071246359,0.8734590282813632,0.5014285714285714
CinCECGTorso,ocsvm,2.0,0.782608695652174,0.5462436868686869,0.8878923766816144,0.5614035087719298
CinCECGTorso,ocsvm,3.0,0.7797101449275362,0.5381749809554424,0.8866517524235644,0.5568513119533528
CinCECGTorso,ocsvm,4.0,0.7673913043478261,0.4979139251869307,0.8816371681415929,0.5347826086956522
Coffee,ocsvm,0.0,0.7857142857142857,0.78125,0.8421052631578947,0.8
Coffee,ocsvm,1.0,0.6785714285714286,0.6199095022624435,0.8125,0.6538461538461539
Computers,ocsvm,1.0,0.652,0.6267696267696268,0.7083333333333333,0.652
Computers,ocsvm,2.0,0.4,0.3912337662337662,0.3938879456706282,0.4
CricketX,ocsvm,1.0,0.8948717948717949,0.5358625293895678,0.5425675675675675,0.532139577594123
CricketX,ocsvm,2.0,0.941025641025641,0.7287981859410431,0.9696569920844327,0.6617647058823529
CricketX,ocsvm,3.0,0.9153846153846154,0.4779116465863454,0.46005154639175255,0.4972144846796657
CricketX,ocsvm,4.0,0.8948717948717949,0.5165532879818594,0.5293333333333333,0.5152777777777778
CricketX,ocsvm,5.0,0.8769230769230769,0.4871232876712329,0.49272486772486773,0.4975328947368421
CricketX,ocsvm,6.0,0.8846153846153846,0.5279593318809005,0.5371621621621622,0.5247102165513523
CricketX,ocsvm,7.0,0.9076923076923077,0.5020570293658675,0.5188101487314085,0.5061610469003726
CricketX,ocsvm,8.0,0.9256410256410257,0.6580498866213151,0.8293355720796354,0.613433575677462
CricketX,ocsvm,9.0,0.9102564102564102,0.6457397939321585,0.8050397877984085,0.6067857142857143
CricketX,ocsvm,10.0,0.9,0.5753650297328234,0.666005291005291,0.5576525534032616
CricketX,ocsvm,11.0,0.941025641025641,0.5881353597502181,0.9702842377260982,0.5576923076923077
CricketX,ocsvm,12.0,0.8589743589743589,0.479507898376647,0.4771174863387978,0.4829386299974535
CricketY,ocsvm,1.0,0.9025641025641026,0.6085164835164836,0.6933333333333334,0.5832631498353879
CricketY,ocsvm,2.0,0.882051282051282,0.6085020949720671,0.6055513114336644,0.6117351064785695
CricketY,ocsvm,3.0,0.8897435897435897,0.5647660325452233,0.5713797814207651,0.5598911070780399
CricketY,ocsvm,4.0,0.9256410256410257,0.6580498866213151,0.8644736842105263,0.6114688128772636
CricketY,ocsvm,5.0,0.8128205128205128,0.5180702496826068,0.5191402908468776,0.5341961982997421
CricketY,ocsvm,6.0,0.9128205128205128,0.6367123287671234,0.7017820533038952,0.6086070791953144
CricketY,ocsvm,7.0,0.8615384615384616,0.6063845693779903,0.596206688559748,0.6218487394957983
CricketY,ocsvm,8.0,0.9051282051282051,0.6254963535854248,0.6579558652729385,0.6068435754189945
CricketY,ocsvm,9.0,0.8923076923076924,0.6088451619065813,0.6311475409836066,0.5951751487111698
CricketY,ocsvm,10.0,0.9179487179487179,0.6580821917808218,0.7325343005835041,0.6251591545709192
CricketY,ocsvm,11.0,0.8923076923076924,0.4715447154471545,0.4566929133858268,0.48739495798319327
CricketY,ocsvm,12.0,0.9179487179487179,0.6921862667719021,0.713972602739726,0.6754425375146015
CricketZ,ocsvm,1.0,0.8897435897435897,0.531812725090036,0.5536430481283423,0.5272472625413802
CricketZ,ocsvm,2.0,0.9358974358974359,0.7377551843782781,0.96684350132626,0.6710526315789473
CricketZ,ocsvm,3.0,0.8948717948717949,0.4722598105548037,0.448586118251928,0.49857142857142855
CricketZ,ocsvm,4.0,0.8717948717948718,0.502601775329048,0.5056136275648471,0.5036923860453272
CricketZ,ocsvm,5.0,0.9076923076923077,0.5256756756756756,0.705958549222798,0.5249529190207156
CricketZ,ocsvm,6.0,0.8948717948717949,0.5165532879818594,0.526403743315508,0.5150921769032382
CricketZ,ocsvm,7.0,0.9230769230769231,0.5387162908058666,0.5710526315789474,0.5307377049180327
CricketZ,ocsvm,8.0,0.9307692307692308,0.6816326530612244,0.7392367134521369,0.6496645619573796
CricketZ,ocsvm,9.0,0.9179487179487179,0.6303755479208625,0.7559523809523809,0.5959187045604759
CricketZ,ocsvm,10.0,0.8846153846153846,0.5279593318809005,0.5466803343321243,0.5244547257105089
CricketZ,ocsvm,11.0,0.9179487179487179,0.597367402245451,0.7144736842105264,0.5711417597765363
CricketZ,ocsvm,12.0,0.8743589743589744,0.5207523510971787,0.521978021978022,0.5198681822523642
DiatomSizeReduction,ocsvm,1.0,0.8921568627450981,0.4715025906735752,0.44607843137254904,0.5
DiatomSizeReduction,ocsvm,2.0,0.8594771241830066,0.8018701721100421,0.9163424124513619,0.7663043478260869
DiatomSizeReduction,ocsvm,3.0,0.8006535947712419,0.6969559217468951,0.8882783882783882,0.675531914893617
DiatomSizeReduction,ocsvm,4.0,0.7973856209150327,0.6612142857142858,0.8896797153024911,0.6436781609195402
DistalPhalanxOutlineAgeGroup,ocsvm,1.0,0.8201438848920863,0.5701917130488559,0.5656565656565656,0.5768817204301075
DistalPhalanxOutlineAgeGroup,ocsvm,2.0,0.6690647482014388,0.6438279857397504,0.6641230620155039,0.6435381355932204
DistalPhalanxOutlineAgeGroup,ocsvm,3.0,0.6474820143884892,0.5901185532888007,0.7352369852369852,0.6258835758835759
DistalPhalanxOutlineCorrect,ocsvm,0.0,0.5652173913043478,0.5527950310559007,0.5527950310559007,0.5527950310559007
DistalPhalanxOutlineCorrect,ocsvm,1.0,0.4927536231884058,0.4895101199598372,0.5222986074387449,0.520496894409938
DistalPhalanxTW,ocsvm,3.0,0.8848920863309353,0.7663865546218487,0.747086247086247,0.7920110192837466
DistalPhalanxTW,ocsvm,4.0,0.762589928057554,0.5775075987841944,0.5709459459459459,0.5967105263157895
DistalPhalanxTW,ocsvm,5.0,0.6834532374100719,0.5799450549450549,0.5893070489844684,0.5766666666666667
DistalPhalanxTW,ocsvm,6.0,0.8489208633093526,0.538498023715415,0.5400262467191601,0.5372405372405372
DistalPhalanxTW,ocsvm,7.0,0.43884892086330934,0.3433866279069767,0.49285414039512404,0.4675572519083969
DistalPhalanxTW,ocsvm,8.0,0.8273381294964028,0.7508960573476703,0.8783613445378151,0.7210358370152185
Earthquakes,ocsvm,0.0,0.2517985611510791,0.20114942528735633,0.12589928057553956,0.5
Earthquakes,ocsvm,1.0,0.7482014388489209,0.4279835390946502,0.37410071942446044,0.5
ECG200,ocsvm,-1.0,0.64,0.5535714285714286,0.5875,0.5607638888888888
ECG200,ocsvm,1.0,0.63,0.6290726817042607,0.7141187470780739,0.6987847222222222
ECG5000,ocsvm,1.0,0.7026666666666667,0.6977140130565858,0.7902157070845544,0.7450304052275734
ECG5000,ocsvm,2.0,0.814,0.7629056232189202,0.8701606279045668,0.7416423523309343
ECG5000,ocsvm,3.0,0.9806666666666667,0.5885664562382888,0.7296112014799221,0.5568934995416276
ECG5000,ocsvm,4.0,0.8335555555555556,0.5249385083957129,0.5295520077654801,0.6036168455821634
ECG5000,ocsvm,5.0,0.9951111111111111,0.4987747828024059,0.49755555555555553,0.5
ECGFiveDays,ocsvm,1.0,0.6782810685249709,0.6414360778476873,0.7958435871453388,0.6764423388228185
ECGFiveDays,ocsvm,2.0,0.7166085946573751,0.7009531509782039,0.7775613275613276,0.7179615160475707
ElectricDevices,ocsvm,1.0,0.7149526650239917,0.4474959427957013,0.47288241745828874,0.4415455177011154
ElectricDevices,ocsvm,2.0,0.5527168979380106,0.3853220050548981,0.3807778769594006,0.39036709432004535
ElectricDevices,ocsvm,3.0,0.7456879782129425,0.5350651765692176,0.5393256607615867,0.5786162025065787
ElectricDevices,ocsvm,4.0,0.7582674101932304,0.5997176332614383,0.5912806962063211,0.6219512227104584
ElectricDevices,ocsvm,5.0,0.8413954091557515,0.7196024761187718,0.8786271759459071,0.6831900195426232
ElectricDevices,ocsvm,6.0,0.7229931267021139,0.5249168423275149,0.5360270108455646,0.5791979446900501
ElectricDevices,ocsvm,7.0,0.8648683698612372,0.5901741506691573,0.5781857904752288,0.6136708243468119
FaceAll,ocsvm,1.0,0.9751479289940829,0.7877113017263038,0.9873493975903614,0.7083333333333334
FaceAll,ocsvm,2.0,0.9355029585798816,0.660541887262535,0.951321238989675,0.6083734872254595
FaceAll,ocsvm,3.0,0.9420118343195266,0.7395911949685534,0.8722997386223863,0.6833172458172458
FaceAll,ocsvm,4.0,0.8550295857988166,0.5661940429080767,0.5592163355408388,0.578808592315489
FaceAll,ocsvm,5.0,0.9485207100591716,0.7512498413906865,0.973491773308958,0.6801470588235294
FaceAll,ocsvm,6.0,0.9313609467455621,0.7494696485623004,0.800037929536709,0.7162255699428184
FaceAll,ocsvm,7.0,0.921301775147929,0.6608468793899258,0.6676729559748428,0.6547040834682497
FaceAll,ocsvm,8.0,0.8875739644970414,0.634808203224515,0.9040423979231718,0.5994856855022814
