dataset,model,label,accuracy,f1,recall,precision
Adiac,chrono_gam,1.0,0.9820971867007673,0.9907027219130183,1.0,0.9820971867007673
Adiac,chrono_gam,2.0,0.9667519181585678,0.9825665914670751,1.0,0.9667519181585678
Adiac,chrono_gam,3.0,0.9616368286445013,0.9797505421862126,1.0,0.9616368286445013
Adiac,chrono_gam,4.0,0.9846547314578005,0.9920798613975746,1.0,0.9846547314578005
Adiac,chrono_gam,5.0,0.959079283887468,0.9785585093892991,1.0,0.959079283887468
Adiac,chrono_gam,6.0,0.23529411764705882,0.3292735363817334,0.23563512361466327,0.7578857630008524
Adiac,chrono_gam,7.0,0.9744245524296675,0.9865357643758768,1.0,0.9744245524296675
Adiac,chrono_gam,8.0,0.969309462915601,0.9837106114874253,1.0,0.969309462915601
Adiac,chrono_gam,9.0,0.4373401534526854,0.5604651891539207,0.4582389477530143,0.9549826132946337
Adiac,chrono_gam,10.0,0.9769820971867008,0.9878866726321558,1.0,0.9769820971867008
Adiac,chrono_gam,11.0,0.6879795396419437,0.7584682046957916,0.6987212276214834,0.960670645069622
Adiac,chrono_gam,12.0,0.9641943734015346,0.9808854585989739,1.0,0.9641943734015346
Adiac,chrono_gam,13.0,0.9641943734015346,0.98098256374659,1.0,0.9641943734015346
Adiac,chrono_gam,14.0,0.9232736572890026,0.9398179468140693,0.9413469735720374,0.979539641943734
Adiac,chrono_gam,15.0,0.9769820971867008,0.9880317905563348,1.0,0.9769820971867008
Adiac,chrono_gam,16.0,0.5473145780051151,0.6522705008012345,0.5599477249093617,0.9563086104006819
Adiac,chrono_gam,17.0,0.15089514066496162,0.24959817837649545,0.15467056387772501,0.8668371696504689
Adiac,chrono_gam,18.0,0.9667519181585678,0.9826636966146908,1.0,0.9667519181585678
Adiac,chrono_gam,19.0,0.9002557544757033,0.932372729566246,0.9271952259164536,0.9718670076726342
Adiac,chrono_gam,20.0,0.969309462915601,0.9837106114874253,1.0,0.969309462915601
Adiac,chrono_gam,21.0,0.969309462915601,0.9838957181750682,1.0,0.969309462915601
Adiac,chrono_gam,22.0,0.9360613810741688,0.9558093319264668,0.9616368286445013,0.9744245524296675
Adiac,chrono_gam,23.0,0.9718670076726342,0.9853917443555265,1.0,0.9718670076726342
Adiac,chrono_gam,24.0,0.979539641943734,0.9893518136567391,1.0,0.979539641943734
Adiac,chrono_gam,25.0,0.959079283887468,0.9785585093892991,1.0,0.959079283887468
Adiac,chrono_gam,26.0,0.9386189258312021,0.9547965422728233,0.9645353793691389,0.9607843137254901
Adiac,chrono_gam,27.0,0.9820971867007673,0.9906718367571434,1.0,0.9820971867007673
Adiac,chrono_gam,28.0,0.9820971867007673,0.9907598382971703,1.0,0.9820971867007673
Adiac,chrono_gam,29.0,0.9718670076726342,0.9853037428154994,1.0,0.9718670076726342
Adiac,chrono_gam,30.0,0.9820971867007673,0.9907598382971705,1.0,0.9820971867007673
Adiac,chrono_gam,31.0,0.9718670076726342,0.9853037428154994,1.0,0.9718670076726342
Adiac,chrono_gam,32.0,0.9667519181585678,0.9796716442537746,0.9824625502374862,0.9790281329923274
Adiac,chrono_gam,33.0,0.9820971867007673,0.9907598382971705,1.0,0.9820971867007673
Adiac,chrono_gam,34.0,0.9718670076726342,0.9854797458955534,1.0,0.9718670076726342
Adiac,chrono_gam,35.0,0.8797953964194374,0.9087523354003018,0.9053708439897699,0.9744245524296675
Adiac,chrono_gam,36.0,0.9641943734015346,0.9813745586701614,1.0,0.9641943734015346
Adiac,chrono_gam,37.0,0.969309462915601,0.9839837197150952,1.0,0.969309462915601
ArrowHead,chrono_gam,0.0,0.3657142857142857,0.2909168771176732,0.23532467532467533,0.601038961038961
