dataset,model,label,accuracy,f1,recall,precision
ACSF1,chrono_gam,0.0,0.69,0.7055238095238096,0.69,0.78
ACSF1,chrono_gam,1.0,0.77,0.7974472934472935,0.79,0.9
ACSF1,chrono_gam,2.0,0.86,0.9002197802197803,0.96,0.86
ACSF1,chrono_gam,3.0,0.17,0.18312762297901614,0.10666666666666666,0.7466666666666666
ACSF1,chrono_gam,4.0,0.17,0.17601651186790504,0.11333333333333333,0.5866666666666667
ACSF1,chrono_gam,5.0,0.19,0.18922600619195046,0.11,0.8
ACSF1,chrono_gam,6.0,0.9,0.9359999999999999,1.0,0.9
ACSF1,chrono_gam,7.0,0.34,0.3509872721018232,0.27666666666666667,0.8533333333333333
ACSF1,chrono_gam,8.0,0.15,0.11084967320261438,0.06,0.8
ACSF1,chrono_gam,9.0,0.9,0.9272727272727272,1.0,0.9
BME,chrono_gam,1.0,0.48,0.2666291759520996,0.20857142857142857,0.6044444444444443
BME,chrono_gam,2.0,0.6666666666666666,0.6884656084656084,0.7866666666666666,0.6666666666666666
BME,chrono_gam,3.0,0.20666666666666667,0.26006558880862285,0.24666666666666667,0.6666666666666666
Chinatown,chrono_gam,1.0,0.7259475218658892,0.7304826692581794,0.7667638483965015,0.7259475218658892
Chinatown,chrono_gam,2.0,0.27405247813411077,0.27677356656948493,0.27988338192419826,0.27405247813411077
Crop,chrono_gam,1.0,0.08142857142857143,0.07459582663474766,0.04125,0.4723809523809524
Crop,chrono_gam,2.0,0.07297619047619047,0.05897232099043516,0.03283730158730159,0.3606349206349206
Crop,chrono_gam,3.0,0.044226190476190474,0.004743230625583565,0.0025595238095238097,0.035238095238095235
Crop,chrono_gam,4.0,0.061964285714285715,0.03985453830655057,0.021488095238095237,0.3
Crop,chrono_gam,5.0,0.05607142857142857,0.027353350697003866,0.014702380952380953,0.21142857142857144
Crop,chrono_gam,6.0,0.04755952380952381,0.010930594460006207,0.005892857142857143,0.08190476190476191
Crop,chrono_gam,7.0,0.06446428571428571,0.040706078922797075,0.02279761904761905,0.23333333333333334
Crop,chrono_gam,8.0,0.17125,0.19485128135045626,0.13053571428571428,0.7076190476190476
Crop,chrono_gam,9.0,0.04303571428571429,0.0029007158418923127,0.0015476190476190477,0.023809523809523808
Crop,chrono_gam,10.0,0.0830952380952381,0.07827573602540484,0.04373015873015874,0.4611111111111111
Crop,chrono_gam,11.0,0.042083333333333334,0.0007843137254901962,0.0004166666666666667,0.006666666666666667
Crop,chrono_gam,12.0,0.10994047619047619,0.11801011003232525,0.06946428571428571,0.5571428571428572
Crop,chrono_gam,13.0,0.10541666666666667,0.10872829149563547,0.06428571428571428,0.5314285714285715
Crop,chrono_gam,14.0,0.0681547619047619,0.05485635657771865,0.02994047619047619,0.37523809523809526
Crop,chrono_gam,15.0,0.08494047619047619,0.07984695910123359,0.0451984126984127,0.44904761904761903
Crop,chrono_gam,16.0,0.04958333333333333,0.014754533392304259,0.007976190476190477,0.10857142857142857
Crop,chrono_gam,17.0,0.10696428571428572,0.11817948083932883,0.06797619047619048,0.6312380952380952
Crop,chrono_gam,18.0,0.08595238095238095,0.08508934801991049,0.047619047619047616,0.4911904761904762
Crop,chrono_gam,19.0,0.10119047619047619,0.10631051685080165,0.06297619047619048,0.5
Crop,chrono_gam,20.0,0.0968452380952381,0.09953456353764087,0.0575,0.49523809523809526
Crop,chrono_gam,21.0,0.06410714285714286,0.04142513145609109,0.02244047619047619,0.29904761904761906
Crop,chrono_gam,22.0,0.12101190476190476,0.12815605509239392,0.08113095238095239,0.5066666666666667
Crop,chrono_gam,23.0,0.06041666666666667,0.03532294789260723,0.01904761904761905,0.26571428571428574
Crop,chrono_gam,24.0,0.05142857142857143,0.02359034842006973,0.012976190476190476,0.15333333333333332
EOGHorizontalSignal,chrono_gam,1.0,0.9171270718232044,0.9428711962451722,1.0,0.9171270718232044
EOGHorizontalSignal,chrono_gam,2.0,0.9171270718232044,0.9470257591804553,1.0,0.9171270718232044
EOGHorizontalSignal,chrono_gam,3.0,0.9171270718232044,0.9428711962451722,1.0,0.9171270718232044
EOGHorizontalSignal,chrono_gam,4.0,0.9171270718232044,0.9448784607874285,1.0,0.9171270718232044
EOGHorizontalSignal,chrono_gam,5.0,0.914364640883978,0.9435402166893879,1.0,0.914364640883978
EOGHorizontalSignal,chrono_gam,6.0,0.9171270718232044,0.943449225217181,1.0,0.9171270718232044
EOGHorizontalSignal,chrono_gam,7.0,0.9171270718232044,0.9457161622907481,1.0,0.9171270718232044
EOGHorizontalSignal,chrono_gam,8.0,0.9171270718232044,0.9435090445574511,1.0,0.9171270718232044
EOGHorizontalSignal,chrono_gam,9.0,0.914364640883978,0.9398098009185837,1.0,0.914364640883978
EOGHorizontalSignal,chrono_gam,10.0,0.9171270718232044,0.9470257591804553,1.0,0.9171270718232044
EOGHorizontalSignal,chrono_gam,11.0,0.914364640883978,0.9405139218436989,1.0,0.914364640883978
EOGHorizontalSignal,chrono_gam,12.0,0.919889502762431,0.937495964190423,0.9723756906077348,0.919889502762431
EOGVerticalSignal,chrono_gam,1.0,0.9171270718232044,0.9428711962451722,1.0,0.9171270718232044
EOGVerticalSignal,chrono_gam,2.0,0.9171270718232044,0.9470257591804553,1.0,0.9171270718232044
EOGVerticalSignal,chrono_gam,3.0,0.9171270718232044,0.9428711962451722,1.0,0.9171270718232044
EOGVerticalSignal,chrono_gam,4.0,0.9171270718232044,0.9448784607874285,1.0,0.9171270718232044
EOGVerticalSignal,chrono_gam,5.0,0.914364640883978,0.9435402166893879,1.0,0.914364640883978
EOGVerticalSignal,chrono_gam,6.0,0.9171270718232044,0.943449225217181,1.0,0.9171270718232044
EOGVerticalSignal,chrono_gam,7.0,0.9171270718232044,0.9457161622907481,1.0,0.9171270718232044
EOGVerticalSignal,chrono_gam,8.0,0.9171270718232044,0.9435090445574511,1.0,0.9171270718232044
EOGVerticalSignal,chrono_gam,9.0,0.914364640883978,0.9398098009185837,1.0,0.914364640883978
EOGVerticalSignal,chrono_gam,10.0,0.9171270718232044,0.9470257591804553,1.0,0.9171270718232044
EOGVerticalSignal,chrono_gam,11.0,0.914364640883978,0.9405139218436989,1.0,0.914364640883978
EOGVerticalSignal,chrono_gam,12.0,0.919889502762431,0.937495964190423,0.9723756906077348,0.919889502762431
EthanolLevel,chrono_gam,1.0,0.282,0.1471006849359791,0.09027905427905428,0.5653333333333334
EthanolLevel,chrono_gam,2.0,0.332,0.23911782417788616,0.15558996558996557,0.728
EthanolLevel,chrono_gam,3.0,0.358,0.2518041853571265,0.1687387279387279,0.6416
EthanolLevel,chrono_gam,4.0,0.334,0.255478086843385,0.1673055389055389,0.6912
