dataset,model,label,accuracy,f1,recall,precision
Adiac,chrono_gam,1.0,0.017902813299232736,0.016680457349180083,0.13171355498721227,0.008951406649616368
Adiac,chrono_gam,2.0,0.03324808184143223,0.03053217517993872,0.22506393861892582,0.016624040920716114
Adiac,chrono_gam,3.0,0.03836317135549872,0.03481146575379827,0.22506393861892582,0.01918158567774936
Adiac,chrono_gam,4.0,0.015345268542199489,0.014442605686775991,0.12276214833759591,0.0076726342710997444
Adiac,chrono_gam,5.0,0.04092071611253197,0.0375419988967454,0.2544757033248082,0.020460358056265986
Adiac,chrono_gam,6.0,0.020460358056265986,0.019256807582367988,0.1636828644501279,0.010230179028132993
Adiac,chrono_gam,7.0,0.02557544757033248,0.023268642495361314,0.1432225063938619,0.01278772378516624
Adiac,chrono_gam,8.0,0.030690537084398978,0.027590162910410273,0.1636828644501279,0.015345268542199489
Adiac,chrono_gam,9.0,0.028132992327365727,0.025675743443157314,0.1636828644501279,0.014066496163682864
Adiac,chrono_gam,10.0,0.023017902813299233,0.020959747923039635,0.13171355498721227,0.011508951406649617
Adiac,chrono_gam,11.0,0.02557544757033248,0.023803553817093762,0.18414322250639387,0.01278772378516624
Adiac,chrono_gam,12.0,0.03580562659846547,0.031911683325459225,0.18414322250639387,0.017902813299232736
Adiac,chrono_gam,13.0,0.03580562659846547,0.03213690914513605,0.18414322250639387,0.017902813299232736
Adiac,chrono_gam,14.0,0.023017902813299233,0.021128997208431543,0.1432225063938619,0.011508951406649617
Adiac,chrono_gam,15.0,0.023017902813299233,0.021396452869297762,0.1636828644501279,0.011508951406649617
Adiac,chrono_gam,16.0,0.02557544757033248,0.022606711729426368,0.11125319693094629,0.01278772378516624
Adiac,chrono_gam,17.0,0.023017902813299233,0.021396452869297762,0.1636828644501279,0.011508951406649617
Adiac,chrono_gam,18.0,0.03324808184143223,0.030757400999615533,0.22506393861892582,0.016624040920716114
Adiac,chrono_gam,19.0,0.030690537084398978,0.02861775571268576,0.22506393861892582,0.015345268542199489
Adiac,chrono_gam,20.0,0.030690537084398978,0.027590162910410273,0.1636828644501279,0.015345268542199489
Adiac,chrono_gam,21.0,0.030690537084398978,0.028082844390953314,0.18414322250639387,0.015345268542199489
Adiac,chrono_gam,22.0,0.02557544757033248,0.023268642495361314,0.1432225063938619,0.01278772378516624
Adiac,chrono_gam,23.0,0.028132992327365727,0.02621065476488976,0.20460358056265984,0.014066496163682864
Adiac,chrono_gam,24.0,0.020460358056265986,0.018989351921501765,0.1432225063938619,0.010230179028132993
Adiac,chrono_gam,25.0,0.04092071611253197,0.0375419988967454,0.2544757033248082,0.020460358056265986
Adiac,chrono_gam,26.0,0.028132992327365727,0.02594319910402354,0.18414322250639387,0.014066496163682864
Adiac,chrono_gam,27.0,0.017902813299232736,0.016582250973705765,0.12276214833759591,0.008951406649616368
Adiac,chrono_gam,28.0,0.017902813299232736,0.016849706634571988,0.1432225063938619,0.008951406649616368
Adiac,chrono_gam,29.0,0.028132992327365727,0.025943199104023536,0.18414322250639387,0.014066496163682864
Adiac,chrono_gam,30.0,0.017902813299232736,0.016849706634571988,0.1432225063938619,0.008951406649616368
Adiac,chrono_gam,31.0,0.028132992327365727,0.02594319910402354,0.18414322250639387,0.014066496163682864
Adiac,chrono_gam,32.0,0.9820971867007673,0.8929901273272283,0.8976982097186701,0.8887468030690537
Adiac,chrono_gam,33.0,0.017902813299232736,0.016849706634571988,0.1432225063938619,0.008951406649616368
Adiac,chrono_gam,34.0,0.028132992327365727,0.02647811042575598,0.22506393861892582,0.014066496163682864
Adiac,chrono_gam,35.0,0.02557544757033248,0.02336684887083563,0.15217391304347827,0.01278772378516624
Adiac,chrono_gam,36.0,0.03580562659846547,0.03326270832288585,0.2544757033248082,0.017902813299232736
Adiac,chrono_gam,37.0,0.030690537084398978,0.028350300051819533,0.20460358056265984,0.015345268542199489
ArrowHead,chrono_gam,0.0,0.3942857142857143,0.3874829931972789,0.4114285714285714,0.38
ArrowHead,chrono_gam,1.0,0.3028571428571429,0.2552706552706553,0.2742857142857143,0.24285714285714285
ArrowHead,chrono_gam,2.0,0.3028571428571429,0.2935064935064935,0.3142857142857143,0.2857142857142857
Beef,chrono_gam,1.0,0.2,0.14545454545454545,0.26666666666666666,0.1
Beef,chrono_gam,2.0,0.2,0.14545454545454545,0.26666666666666666,0.1
Beef,chrono_gam,3.0,0.2,0.165,0.5,0.1
Beef,chrono_gam,4.0,0.2,0.14,0.23333333333333334,0.1
Beef,chrono_gam,5.0,0.2,0.14,0.23333333333333334,0.1
BeetleFly,chrono_gam,1.0,0.5,0.3076923076923077,0.4,0.25
BeetleFly,chrono_gam,2.0,0.5,0.41818181818181815,0.6,0.35
BirdChicken,chrono_gam,1.0,0.5,0.4071497584541063,0.41166666666666674,0.47948717948717945
BirdChicken,chrono_gam,2.0,0.5,0.41818181818181815,0.6,0.35
